
1D adaptive Heat PDE test problem:
  diffusion coefficient:  k = 0.5
  initial N = 21
  iout          dt_old                 dt_new               ||u||_rms       N   NNI  NLI
 ----------------------------------------------------------------------------------------
    0  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  21    0    0
    1  5.394573332147690e-13  5.394573332147690e-09  4.428556802247758e-13  21    5    5
    2  5.394573332147690e-09  1.078914666429538e-07  4.428998033958984e-09  21    5    5
    3  1.078914666429538e-07  2.157829332859076e-06  9.299941961757091e-08  21    5   10
    4  2.157829332859076e-06  4.315658665718152e-05  1.864135190819551e-06  21    5   10
    5  4.315658665718152e-05  4.458812754883150e-04  3.717883476791906e-05  21    5   19
    6  4.458812754883150e-04  6.587284281709893e-04  3.911391919951663e-04  21    5   30
    7  6.587284281709893e-04  1.146356622376313e-03  8.847937185383519e-04  21    5   32
    8  1.146356622376313e-03  1.655314783051515e-03  1.686401756195088e-03  21    5   37
    9  1.655314783051515e-03  2.561935229900677e-03  2.869323874396242e-03  23    5   50
   10  2.561935229900677e-03  3.907953459943204e-03  4.927725478008880e-03  25    5   55
   11  3.907953459943204e-03  7.693556957604394e-03  7.336448454670552e-03  25    5   57
   12  7.693556957604394e-03  1.407531219836615e-02  1.136425351165612e-02  29    5  105
   13  1.407531219836615e-02  2.564362814856977e-02  1.714150141433251e-02  34    5  105
   14  4.383293898542530e-03  4.383293898542530e-03  1.808260638028883e-02  40   15  315
   15  4.383293898542530e-03  1.704136038832478e-02  1.934317524954964e-02  40    5  105
   16  1.384640387484870e-02  1.384640387484870e-02  2.264927912383076e-02  40   10  210
   17  1.384640387484870e-02  1.466493597140611e-02  2.435546509983131e-02  44    5  105
   18  1.466493597140611e-02  1.344746264408990e-02  2.540426849451062e-02  50    5  105
   19  8.574514665037773e-03  8.574514665037773e-03  2.629949301007478e-02  50   10  210
   20  8.574514665037773e-03  1.135428275760325e-02  2.706370395047627e-02  50    5  105
   21  1.135428275760325e-02  1.645399464485705e-02  2.790881653717262e-02  50    5  105
   22  1.294575716431887e-02  1.294575716431887e-02  2.972492099053115e-02  54   10  210
   23  1.294575716431887e-02  2.037911356486440e-02  2.999272947410978e-02  57    5  105
   24  1.526023690653346e-02  1.487117096017674e-02  3.015334037488631e-02  59   10  210
   25  1.487117096017674e-02  1.957370470637594e-02  3.012296227680478e-02  61    5  105
   26  1.957370470637594e-02  3.864783914620465e-02  3.057445499369831e-02  61    5  105
   27  9.661959786551163e-03  9.661959786551163e-03  3.075425873241366e-02  61    9  189
   28  9.661959786551163e-03  5.749536228720456e-02  3.091133785318683e-02  61    5  105
   29  4.326798714801707e-02  4.326798714801707e-02  3.142164310932423e-02  61   10  210
   30  9.922785160345633e-03  9.922785160345633e-03  3.150586011895925e-02  61   15  315
   31  9.922785160345633e-03  1.699000540463179e-02  3.157872541576476e-02  61    5  105
   32  1.699000540463179e-02  2.574972312463681e-02  3.169334916797310e-02  61    5  105
   33  2.574972312463681e-02  3.029678331317733e-02  3.183881900219545e-02  61    5  105
   34  3.029678331317733e-02  3.480017173416743e-02  3.196969944355478e-02  61    5  105
   35  3.480017173416743e-02  3.167764324266248e-02  3.210894028322174e-02  61    5  105
   36  3.167764324266248e-02  5.494160866661246e-02  3.220063246474523e-02  61    5  105
   37  5.494160866661246e-02  5.465396571355385e-02  3.232395534053296e-02  61    5  105
   38  3.385916215923645e-02  3.385916215923645e-02  3.239423285301307e-02  61   10  210
   39  3.385916215923645e-02  3.414843177164237e-02  3.244705806534095e-02  61    5  105
   40  3.414843177164237e-02  3.896670100051753e-02  3.249277074634401e-02  61    5  105
   41  3.896670100051753e-02  5.469603803120193e-02  3.253770790834669e-02  61    5  105
   42  5.469603803120193e-02  5.014279928487945e-02  3.258381106322494e-02  61    5  105
   43  1.253569982121986e-02  1.253569982121986e-02  3.259326600271525e-02  61    9  189
   44  1.253569982121986e-02  5.285630420980854e-02  3.260214095034080e-02  61    5  105
   45  1.321407605245213e-02  1.321407605245213e-02  3.261098624758608e-02  61    8  168
   46  1.321407605245213e-02  2.407210321573294e-02  3.261844129469344e-02  61    5  105
   47  2.407210321573294e-02  4.290085676258143e-02  3.263201627635309e-02  61    5  105
   48  4.290085676258143e-02  4.706117840026888e-02  3.265632421199740e-02  61    5  105
   49  4.706117840026888e-02  5.830239482778176e-02  3.267558251936391e-02  61    5  105
   50  5.830239482778176e-02  7.136172646282254e-02  3.269583913418296e-02  61    5  105
   51  7.136172646282254e-02  4.496454376887251e-02  3.270808713651584e-02  61    5  105
   52  4.496454376887251e-02  4.496454376887251e-02  3.271497485742279e-02  61    5  105
 ----------------------------------------------------------------------------------------
 Final solver statistics:
   Total number of time steps = 52
   Total nonlinear iterations = 321
   Total linear iterations    = 5896

