
1D adaptive Heat PDE test problem:
  diffusion coefficient:  k = 0.5
  initial N = 21
  iout          dt_old                 dt_new               ||u||_rms       N   NNI  NLI
 ----------------------------------------------------------------------------------------
    0  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  21    0    0
    1  1.107489593951728e-16  1.107489593951728e-12  9.091693212632140e-17  21    5    0
    2  1.107489593951728e-12  2.214979187903456e-11  9.092602381268917e-13  21    5    5
    3  2.214979187903456e-11  4.429958375806912e-10  1.909264663327808e-11  21    5    5
    4  4.429958375806912e-10  8.859916751613825e-09  3.827603630386553e-10  21    5    5
    5  8.859916751613825e-09  1.771983350322765e-07  7.656110092093502e-09  21    5    5
    6  1.771983350322765e-07  3.543966700645530e-06  1.531212651266703e-07  21    5   10
    7  3.543966700645530e-06  7.087933401291060e-05  3.061689133194662e-06  21    5   12
    8  7.087933401291060e-05  4.925867163563094e-04  6.094356785033822e-05  21    5   20
    9  4.925867163563094e-04  6.827916375194714e-04  4.496150255771464e-04  21    5   30
   10  6.827916375194714e-04  1.229212900460097e-03  9.572505803683251e-04  21    5   32
   11  1.229212900460097e-03  1.747739240678618e-03  1.809154748232523e-03  21    5   38
   12  1.747739240678618e-03  2.649061362900595e-03  3.045036023166665e-03  23    5   52
   13  2.649061362900595e-03  4.161738703728404e-03  5.159216960151313e-03  25    5   56
   14  4.161738703728404e-03  8.426024963405194e-03  7.685052396294791e-03  25    5   59
   15  8.426024963405194e-03  1.533158809084870e-02  1.198197195759112e-02  29    5  105
   16  1.533158809084870e-02  1.830445042272591e-02  1.799524747422981e-02  34    5  105
   17  1.533360674572296e-02  1.533360674572296e-02  2.163580676234082e-02  40   10  210
   18  1.174854773189011e-02  1.157883308825434e-02  2.324028329545940e-02  44   10  210
   19  1.157883308825434e-02  1.720485898937013e-02  2.443394959065249e-02  48    5  105
   20  3.734138773775458e-03  3.734138773775458e-03  2.465950432614699e-02  50   15  315
   21  3.734138773775458e-03  1.956308764056526e-02  2.511789501148251e-02  50    5  105
   22  1.956308764056526e-02  2.100815111364095e-02  2.705966234909980e-02  50    5  105
   23  1.866630608346755e-02  1.866630608346755e-02  2.836104755503123e-02  50   10  210
   24  1.164679118864707e-02  1.164679118864707e-02  2.971556593864290e-02  57   10  210
   25  1.164679118864707e-02  2.211290397538445e-02  2.981614570355413e-02  59    5  105
   26  2.211290397538445e-02  2.574798164955712e-02  3.007902158357410e-02  61    5  105
   27  5.632678601162526e-03  5.632678601162526e-03  3.023159735231675e-02  61   15  315
   28  5.632678601162526e-03  2.648997913491641e-02  3.037139299094856e-02  61    5  105
   29  2.648997913491641e-02  3.589128138669319e-02  3.088978070882295e-02  61    5  105
   30  8.972820346673298e-03  8.972820346673298e-03  3.102745768400961e-02  61    7  147
   31  8.972820346673298e-03  3.928820265627657e-02  3.114979440237014e-02  61    5  105
   32  3.928820265627657e-02  4.704102183741020e-02  3.155309989827308e-02  61    5  105
   33  3.222329878025145e-02  3.102641220323066e-02  3.178218086680657e-02  61   10  210
   34  2.426461229205902e-02  2.426461229205902e-02  3.191319849116333e-02  61   10  210
   35  2.426461229205902e-02  3.386456587413577e-02  3.202065972728857e-02  61    5  105
   36  3.386456587413577e-02  3.647438812534258e-02  3.215563012539356e-02  61    5  105
   37  3.647438812534258e-02  3.802423336491632e-02  3.227085975587432e-02  61    5  105
   38  3.802423336491632e-02  4.077915172594559e-02  3.235483221487337e-02  61    5  105
   39  1.019478793148640e-02  1.019478793148640e-02  3.237656542313908e-02  61    8  168
   40  1.019478793148640e-02  1.940158859394488e-02  3.239653873176176e-02  61    5  105
   41  1.257023660209882e-02  1.257023660209882e-02  3.242061750186439e-02  61   10  210
   42  1.257023660209882e-02  2.099730849784145e-02  3.244311651552160e-02  61    5  105
   43  1.569287443085416e-02  1.569287443085416e-02  3.246895725468500e-02  61   10  210
   44  1.569287443085416e-02  2.618685189366099e-02  3.249283248580939e-02  61    5  105
   45  2.618685189366099e-02  3.976692936611749e-02  3.252846653827840e-02  61    5  105
   46  8.871842467074485e-03  8.871842467074485e-03  3.253987772134400e-02  61   15  315
   47  8.871842467074485e-03  4.580825714505537e-02  3.255080139410872e-02  61    5  105
   48  4.580825714505537e-02  6.851323637969259e-02  3.260307622225449e-02  61    5  105
   49  5.142118438458393e-02  5.142118438458393e-02  3.264895316931569e-02  61   10  210
   50  5.142118438458393e-02  7.064503725607458e-02  3.268365970497689e-02  61    5  105
   51  1.766125931401864e-02  1.766125931401864e-02  3.269307867488371e-02  61    9  189
   52  1.766125931401864e-02  5.540026320437766e-02  3.270178318154998e-02  61    5  105
   53  5.540026320437766e-02  5.938752297745373e-02  3.272585709307726e-02  61    5  105
   54  5.938752297745373e-02  1.072874115043944e-01  3.274424101538311e-02  61    5  105
   55  1.072874115043944e-01  2.443993396795052e-02  3.276967700472953e-02  61    5  105
   56  2.443993396795052e-02  2.443993396795052e-02  3.277292031918697e-02  61    5  105
 ----------------------------------------------------------------------------------------
 Final solver statistics:
   Total number of time steps = 56
   Total nonlinear iterations = 364
   Total linear iterations    = 6503

