
1D adaptive Heat PDE test problem:
  diffusion coefficient:  k = 0.5
  initial N = 21
  iout          dt_old                 dt_new               ||u||_rms       N   NNI  NLI
 ----------------------------------------------------------------------------------------
    0  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  21    0    0
    1  2.441338864400677e-08  3.929796150714537e-07  2.004160570834301e-08  21    5    5
    2  3.929796150714537e-07  3.429911430430366e-06  3.426399075578956e-07  21    5   10
    3  3.429911430430366e-06  2.473995846230537e-05  3.157535047648707e-06  21    5   10
    4  2.473995846230537e-05  1.892068248707801e-04  2.342276457056869e-05  21    5   15
    5  1.892068248707801e-04  6.239593494683504e-04  1.762642204994336e-04  21    5   24
    6  6.239593494683504e-04  8.317457395605743e-04  6.574958097189665e-04  21    5   33
    7  8.317457395605743e-04  1.442015636712313e-03  1.258360687643290e-03  21    5   34
    8  1.442015636712313e-03  2.180157229304314e-03  2.322499407455325e-03  23    5   53
    9  2.180157229304314e-03  3.190471325069666e-03  3.721328685060143e-03  23    5   53
   10  3.190471325069666e-03  5.317097064107656e-03  6.166560575366020e-03  25    5   60
   11  5.317097064107656e-03  1.225923467427492e-02  9.184772148728371e-03  25    5   65
   12  1.225923467427492e-02  2.082246914505959e-02  1.460188720375299e-02  31    5  105
   13  2.082246914505959e-02  3.458401188254356e-02  2.173986658453941e-02  33    5  105
   14  8.646002970635891e-03  8.646002970635891e-03  2.312983758747578e-02  39    7  147
   15  8.646002970635891e-03  1.025971025228500e-02  2.388293109834194e-02  43    5  105
   16  1.025971025228500e-02  1.231022272258997e-02  2.435024455189705e-02  49    5  105
   17  1.231022272258997e-02  1.184318680316210e-02  2.555087767541409e-02  51    5  105
   18  1.184318680316210e-02  2.185640670359135e-02  2.666623517870903e-02  51    5  105
   19  5.464101675897837e-03  5.464101675897837e-03  2.710438705980778e-02  51    7  147
   20  5.464101675897837e-03  6.849304307252169e-03  2.859635092318058e-02  55    5  105
   21  6.849304307252169e-03  1.030864939093590e-02  2.905703522264957e-02  55    5  105
   22  1.030864939093590e-02  2.539592981338501e-02  2.934528142213821e-02  57    5  105
   23  2.539592981338501e-02  3.006578795611858e-02  2.999676018953323e-02  59    5  105
   24  4.328553099185228e-03  4.328553099185228e-03  2.965963445603848e-02  61   15  315
   25  4.328553099185228e-03  2.842548117041588e-02  2.978902682662010e-02  61    5  105
