
Nonlinear Kvaerno-Prothero-Robinson test problem with mass matrix:
    time domain:  (-3,7]
    Fixed mass matrix
    ERK solver, order = 4
    Adaptive run with reltol = 1e-05, abstol = 1e-11
    G =      -10
    g =       10
    e =      0.5

        t           u           v       uerr      verr
   ------------------------------------------------------
   -3.000000    0.710636    1.363407  0.00e+00  0.00e+00
   -2.900000    0.717303    1.326933  2.26e-06  1.19e-07
   -2.800000    0.727250    1.290353  3.04e-06  1.19e-07
   -2.700000    0.740249    1.254041  3.04e-06  2.38e-07
   -2.600000    0.756016    1.218400  3.16e-06  1.19e-07
   -2.500000    0.774231    1.183862  3.52e-06  0.00e+00
   -2.400001    0.794549    1.150885  3.16e-06  0.00e+00
   -2.300001    0.816620    1.119953  3.46e-06  0.00e+00
   -2.200001    0.840092    1.091560  3.04e-06  0.00e+00
   -2.100001    0.864628    1.066204  3.28e-06  1.19e-07
   -2.000001    0.889905    1.044367  2.98e-06  0.00e+00
   -1.900001    0.915619    1.026499  2.03e-06  1.19e-07
   -1.800001    0.941487    1.012992  8.34e-07  3.58e-07
   -1.700001    0.967248    1.004160  4.47e-06  5.96e-07
   -1.600001    0.992667    1.000214  5.72e-06  5.96e-07
   -1.500001    1.017525    1.001252  5.25e-06  5.96e-07
   -1.400001    1.041620    1.007249  5.60e-06  5.96e-07
   -1.300001    1.064771    1.018058  5.96e-06  5.96e-07
   -1.200001    1.086815    1.033422  5.13e-06  4.77e-07
   -1.100001    1.107604    1.052993  5.48e-06  7.15e-07
   -1.000001    1.127004    1.076350  5.72e-06  7.15e-07
   -0.900001    1.144899    1.103029  5.13e-06  5.96e-07
   -0.800001    1.161180    1.132539  5.84e-06  5.96e-07
   -0.700001    1.175759    1.164381  5.36e-06  4.77e-07
   -0.600001    1.188551    1.198064  5.60e-06  4.77e-07
   -0.500001    1.199490    1.233116  5.84e-06  4.77e-07
   -0.400001    1.208519    1.269087  5.48e-06  3.58e-07
   -0.300001    1.215587    1.305557  6.32e-06  4.77e-07
   -0.200001    1.220664    1.342137  5.36e-06  4.77e-07
   -0.100001    1.223719    1.378466  6.08e-06  4.77e-07
   -0.000001    1.224739    1.414214  5.96e-06  5.96e-07
    0.099999    1.223719    1.449080  5.60e-06  3.58e-07
    0.199999    1.220663    1.482791  6.32e-06  5.96e-07
    0.299999    1.215589    1.515098  5.25e-06  3.58e-07
    0.399999    1.208518    1.545775  5.84e-06  4.77e-07
    0.499999    1.199490    1.574620  5.84e-06  5.96e-07
    0.599999    1.188552    1.601450  5.36e-06  3.58e-07
    0.699999    1.175758    1.626105  5.96e-06  3.58e-07
    0.799999    1.161181    1.648441  5.36e-06  2.38e-07
    0.899999    1.144899    1.668331  5.25e-06  3.58e-07
