
Nonlinear Kvaerno-Prothero-Robinson test problem with mass matrix:
    time domain:  (-3,7]
    Time-dependent mass matrix
    ERK solver, order = 8
    Adaptive run with reltol = 1e-05, abstol = 1e-11
    G =      -10
    g =       10
    e =      0.5

        t           u           v       uerr      verr
   ------------------------------------------------------
   -3.000000    0.710636    1.363407  0.00e+00  0.00e+00
   -2.900000    0.717301    1.326933  2.98e-07  1.19e-07
   -2.800000    0.727247    1.290353  5.96e-08  1.19e-07
   -2.700000    0.740246    1.254042  5.36e-07  0.00e+00
   -2.600000    0.756017    1.218399  3.93e-06  9.54e-07
   -2.500000    0.774231    1.183860  3.28e-06  1.55e-06
   -2.400001    0.794548    1.150884  2.38e-06  1.91e-06
   -2.300001    0.816620    1.119951  4.17e-06  1.91e-06
   -2.200001    0.840089    1.091558  5.36e-07  2.38e-06
   -2.100001    0.864627    1.066202  2.32e-06  1.91e-06
   -2.000001    0.889905    1.044365  2.38e-06  2.38e-06
   -1.900001    0.915607    1.026498  9.89e-06  1.07e-06
   -1.800001    0.941486    1.012991  1.25e-06  8.34e-07
   -1.700001    0.967250    1.004159  2.92e-06  3.58e-07
   -1.600001    0.992679    1.000212  5.72e-06  1.07e-06
   -1.500001    1.017532    1.001251  1.79e-06  1.07e-06
   -1.400001    1.041628    1.007248  2.62e-06  1.07e-06
   -1.300001    1.064780    1.018056  3.10e-06  1.55e-06
   -1.200001    1.086828    1.033421  7.27e-06  9.54e-07
   -1.100001    1.107614    1.052991  4.53e-06  1.19e-06
   -1.000001    1.127010    1.076349  1.19e-07  8.34e-07
   -0.900001    1.144904    1.103028  0.00e+00  5.96e-07
   -0.800001    1.161184    1.132537  1.67e-06  1.07e-06
   -0.700001    1.175763    1.164379  9.54e-07  1.55e-06
   -0.600001    1.188557    1.198064  3.58e-07  2.38e-07
   -0.500001    1.199496    1.233115  4.77e-07  1.19e-07
   -0.400001    1.208523    1.269087  8.34e-07  5.96e-07
   -0.300001    1.215595    1.305558  1.19e-06  1.19e-06
   -0.200001    1.220669    1.342138  2.38e-07  1.43e-06
   -0.100001    1.223726    1.378466  9.54e-07  5.96e-07
   -0.000001    1.224744    1.414215  7.15e-07  2.03e-06
    0.099999    1.223725    1.449081  3.58e-07  8.34e-07
    0.199999    1.220668    1.482793  1.07e-06  2.03e-06
    0.299999    1.215592    1.515099  2.26e-06  1.79e-06
    0.399999    1.208521    1.545776  3.34e-06  2.03e-06
    0.499999    1.199495    1.574621  1.55e-06  2.38e-06
    0.599999    1.188557    1.601451  1.19e-07  1.43e-06
    0.699999    1.175768    1.626106  4.17e-06  1.19e-06
    0.799999    1.161188    1.648442  2.03e-06  1.31e-06
    0.899999    1.144901    1.668332  2.62e-06  1.19e-06
